iter	Passed	Remaining
331	10071	20263
332	10100	20231
333	10131	20202
334	10161	20170
335	10192	20141
336	10222	20111
337	10258	20092
338	10289	20062
339	10322	20037
340	10352	20006
341	10383	19977
342	10414	19947
343	10448	19924
344	10478	19894
345	10507	19861
346	10535	19826
347	10562	19789
348	10591	19757
349	10621	19725
350	10650	19693
351	10680	19662
352	10711	19633
353	10741	19601
354	10772	19571
355	10800	19538
356	10829	19504
357	10857	19471
358	10885	19435
359	10916	19407
360	10947	19378
361	10978	19349
362	11008	19318
363	11039	19288
364	11066	19253
365	11099	19226
366	11129	19195
367	11162	19169
368	11194	19142
369	11223	19109
370	11254	19081
371	11292	19063
372	11325	19038
373	11357	19009
374	11390	18983
375	11422	18957
376	11451	18923
377	11481	18893
378	11515	18867
379	11546	18839
380	11577	18810
381	11605	18775
382	11635	18743
383	11666	18715
384	11694	18681
385	11723	18648
386	11753	18617
387	11783	18586
388	11813	18555
389	11841	18521
390	11871	18489
391	11903	18462
392	11934	18433
393	11961	18398
394	11991	18366
395	12021	18336
396	12050	18302
397	12077	18268
398	12109	18239
399	12138	18208
400	12172	18182
401	12203	18153
